"Transect"	"Distance"	"GroupSize"	"TransectLength"	"RegionArea"
"1"	1	23	744	100	5
"2"	1	23	727	100	5
"3"	1	17	724	100	5
"4"	1	40	748	100	5
"5"	1	87	749	100	5
"6"	1	77	771	100	5
"7"	1	50	748	100	5
"8"	1	62	764	100	5
"9"	1	3	732	100	5
"10"	2	33	757	100	5
"11"	2	26	737	100	5
"12"	2	57	771	100	5
"13"	2	81	737	100	5
"14"	2	34	728	100	5
"15"	2	92	732	100	5
"16"	2	50	760	100	5
"17"	2	96	755	100	5
"18"	2	38	742	100	5
"19"	2	111	778	100	5
"20"	2	14	792	100	5
"21"	2	56	761	100	5
"22"	2	55	771	100	5
"23"	2	181	755	100	5
"24"	2	130	759	100	5
"25"	2	10	749	100	5
"26"	3	149	766	100	5
"27"	3	59	745	100	5
"28"	3	116	753	100	5
"29"	3	69	750	100	5
"30"	3	96	753	100	5
"31"	3	9	747	100	5
"32"	3	54	739	100	5
"33"	3	43	752	100	5
"34"	3	18	748	100	5
"35"	3	86	750	100	5
"36"	3	65	758	100	5
"37"	4	2	745	100	5
"38"	4	16	751	100	5
"39"	4	26	758	100	5
"40"	4	222	750	100	5
"41"	4	49	754	100	5
"42"	4	30	724	100	5
"43"	4	33	764	100	5
"44"	4	140	743	100	5
"45"	4	145	748	100	5
"46"	4	8	739	100	5
"47"	4	120	758	100	5
"48"	4	122	747	100	5
"49"	5	42	754	100	5
"50"	5	23	776	100	5
"51"	5	15	733	100	5
"52"	5	122	761	100	5
"53"	5	62	784	100	5
"54"	5	26	733	100	5
"55"	5	108	770	100	5
"56"	5	63	718	100	5
