"Transect"	"Distance"	"GroupSize"	"TransectLength"	"RegionArea"
"1"	1	23	2977	100	5
"2"	1	23	2908	100	5
"3"	1	17	2899	100	5
"4"	1	40	2994	100	5
"5"	1	87	2998	100	5
"6"	1	77	3087	100	5
"7"	1	50	2992	100	5
"8"	1	62	3057	100	5
"9"	1	3	2928	100	5
"10"	2	33	3030	100	5
"11"	2	26	2950	100	5
"12"	2	57	3087	100	5
"13"	2	81	2950	100	5
"14"	2	34	2913	100	5
"15"	2	92	2931	100	5
"16"	2	50	3042	100	5
"17"	2	96	3021	100	5
"18"	2	38	2969	100	5
"19"	2	111	3112	100	5
"20"	2	14	3171	100	5
"21"	2	56	3044	100	5
"22"	2	55	3087	100	5
"23"	2	181	3020	100	5
"24"	2	130	3036	100	5
"25"	2	10	2998	100	5
"26"	3	149	3064	100	5
"27"	3	59	2982	100	5
"28"	3	116	3014	100	5
"29"	3	69	3001	100	5
"30"	3	96	3015	100	5
"31"	3	9	2990	100	5
"32"	3	54	2958	100	5
"33"	3	43	3009	100	5
"34"	3	18	2994	100	5
"35"	3	86	3000	100	5
"36"	3	65	3035	100	5
"37"	4	2	2981	100	5
"38"	4	16	3006	100	5
"39"	4	26	3034	100	5
"40"	4	222	3002	100	5
"41"	4	49	3016	100	5
"42"	4	30	2897	100	5
"43"	4	33	3058	100	5
"44"	4	140	2973	100	5
"45"	4	145	2992	100	5
"46"	4	8	2957	100	5
"47"	4	120	3034	100	5
"48"	4	122	2989	100	5
"49"	5	42	3019	100	5
"50"	5	23	3104	100	5
"51"	5	15	2932	100	5
"52"	5	122	3045	100	5
"53"	5	62	3137	100	5
"54"	5	26	2934	100	5
"55"	5	108	3081	100	5
"56"	5	63	2872	100	5
"57"	6	105	2989	100	5
"58"	6	104	2987	100	5
"59"	6	102	2898	100	5
"60"	6	25	3053	100	5
"61"	6	89	3053	100	5
"62"	6	131	3037	100	5
"63"	6	2	3018	100	5
"64"	6	85	2978	100	5
"65"	6	95	2983	100	5
"66"	7	60	3026	100	5
"67"	7	22	3079	100	5
"68"	7	87	2996	100	5
"69"	7	98	2997	100	5
"70"	7	2	3031	100	5
"71"	7	53	2979	100	5
"72"	7	91	2925	100	5
"73"	7	118	3011	100	5
"74"	7	70	3049	100	5
"75"	7	28	3057	100	5
"76"	7	23	3012	100	5
"77"	7	78	2957	100	5
"78"	7	126	3021	100	5
"79"	7	2	3085	100	5
"80"	8	112	2984	100	5
"81"	8	131	2988	100	5
"82"	8	33	3066	100	5
"83"	8	28	2860	100	5
"84"	8	70	2950	100	5
"85"	8	10	2945	100	5
"86"	8	54	3016	100	5
"87"	8	32	3010	100	5
"88"	8	19	3001	100	5
"89"	8	112	2969	100	5
"90"	8	43	2963	100	5
"91"	9	21	3048	100	5
"92"	9	2	2892	100	5
"93"	9	123	3023	100	5
"94"	9	40	3052	100	5
"95"	9	4	3094	100	5
"96"	9	37	2913	100	5
"97"	9	37	3059	100	5
"98"	9	110	3020	100	5
"99"	9	191	3093	100	5
"100"	9	54	3016	100	5
"101"	9	38	3004	100	5
"102"	9	14	2997	100	5
"103"	9	91	3002	100	5
"104"	9	125	3053	100	5
"105"	9	37	3052	100	5
"106"	9	53	3009	100	5
"107"	10	125	3023	100	5
"108"	10	55	2967	100	5
"109"	10	29	2990	100	5
"110"	10	112	2961	100	5
"111"	10	38	3024	100	5
"112"	10	4	3025	100	5
"113"	10	41	3039	100	5
"114"	10	3	3052	100	5
"115"	10	56	3076	100	5
"116"	10	41	2975	100	5
"117"	10	1	3048	100	5
"118"	10	85	3019	100	5
