Entity,Year,Total_Millions
World,1950,2.54
World,1951,2.58
World,1952,2.63
World,1953,2.68
World,1954,2.72
World,1955,2.77
World,1956,2.82
World,1957,2.87
World,1958,2.93
World,1959,2.98
World,1960,3.03
World,1961,3.09
World,1962,3.15
World,1963,3.21
World,1964,3.27
World,1965,3.34
World,1966,3.41
World,1967,3.48
World,1968,3.55
World,1969,3.63
World,1970,3.7
World,1971,3.78
World,1972,3.85
World,1973,3.93
World,1974,4
World,1975,4.08
World,1976,4.15
World,1977,4.23
World,1978,4.3
World,1979,4.38
World,1980,4.46
World,1981,4.54
World,1982,4.62
World,1983,4.7
World,1984,4.78
World,1985,4.87
World,1986,4.96
World,1987,5.05
World,1988,5.15
World,1989,5.24
World,1990,5.33
World,1991,5.41
World,1992,5.5
World,1993,5.58
World,1994,5.66
World,1995,5.74
World,1996,5.82
World,1997,5.91
World,1998,5.98
World,1999,6.06
World,2000,6.14
World,2001,6.22
World,2002,6.3
World,2003,6.38
World,2004,6.46
World,2005,6.54
World,2006,6.62
World,2007,6.71
World,2008,6.79
World,2009,6.87
World,2010,6.96
World,2011,7.04
World,2012,7.13
World,2013,7.21
World,2014,7.3
World,2015,7.38
World,2016,7.46
World,2017,7.55
World,2018,7.63
World,2019,7.71
World,2020,7.79
