Unique ID,Capture Date,Fate Date,Collar On Days,Fate,Cause Specific Mortality,Sex,Age at capture,Age at death,UTM E,UTM N,Study Area,Study Section
101,12/20/2014,12/20/2014,0,dead,capture myopathy,f,,,,,FPNWR,FPNWR west
102,12/21/2014,12/21/2014,0,dead,capture myopathy,f,,,,,FPNWR,FPNWR west
103,12/30/2014,7/2/2015,184,unknown,,m,3.5,,,,FPNWR,FPNWR east
104,12/29/2014,12/30/2014,1,dead,capture myopathy,f,,,,,FPNWR,FPNWR east
105,1/19/2015,1/19/2015,0,dead,suspected myopathy - possible panther predation,f,6.5,6.5,473847,2898603,Bear Island,Bear Island grid
106,1/19/2015,5/31/2016,498,,,f,2.0,,,,Bear Island,Bear Island grid
107,1/19/2015,5/31/2016,498,,,f,3.0,,,,Bear Island,Bear Island grid
108,1/19/2015,1/30/2015,11,dead,capture myopathy,f,3,3,481091,2903620,Bear Island,Bear Island grid
109,1/19/2015,4/10/2015,81,dead,confirmed predation - panther,m,3,3,480234,2900226,Bear Island ,Bear Island grid
110,1/18/2015,10/16/2015,271,dead,probable predation - panther,f,2.5,3.5,479529,2898753,Bear Island,Bear Island grid
111,1/14/2015,5/31/2016,503,,,f,2.5,,,,Bear Island,Bear Island grid
112,1/14/2015,5/31/2016,503,,,f,2.5,,,,Bear Island,Bear Island Hinson
113,1/17/2015,3/28/2015,70,dead,probable predation - panther,m,4.5,4.5,496884,2898909,Add Lands,Add Lands Nobels
114,1/19/2015,9/5/2015,229,dead,unknown - probable pathology,m,1,1,480729,2902472,Bear Island,Bear Island grid
115,1/16/2015,6/18/2015,153,dead,probable predation - panther,f,2,2.5,479104,2899390,Bear Island,Bear Island grid
117,1/16/2015,5/31/2016,501,,,f,3.0,,,,FPNWR,FPNWR east
118,1/18/2015,5/31/2016,499,,,f,2.0,,,,Bear Island,Bear Island grid
119,1/16/2015,12/22/2015,340,dead,confirmed predation - panther,f,3.5,4.5,,,Bear Island,Bear Island grid
120,1/17/2015,9/10/2015,236,dead,confirmed predation - panther,f,2.5,3,484436,2899271,Add Lands,Add Lands Bakers
121,1/16/2015,6/4/2015,139,dead,confirmed predation - panther,m,3,3.5,465838,2893614,Bear Island,Bear Island Hinson
122,1/17/2015,5/31/2016,500,,,f,2.5,,,,Add Lands,Add Lands Nobels
123,1/17/2015,5/31/2016,500,,,f,2.0,,,,Add Lands,Add Lands Nobels
124,1/17/2015,5/31/2016,500,,,f,3.0,,,,Add Lands,Add Lands Bakers
125,1/17/2015,5/31/2016,500,,,m,2.0,,,,Add Lands,Add Lands Nobels
126,1/19/2015,1/21/2015,2,dead,confirmed predation - panther,f,6.5,6.5,483590,2897321,Add Lands,Add Lands Bakers
127,1/17/2015,4/7/2015,80,dead,confirmed predation - bobcat,f,1,1.3,483876,2900334,Add Lands,Add Lands Bakers
128,1/19/2015,5/31/2016,498,,,m,2.0,,,,Bear Island,Bear Island Hinson
129,1/17/2015,5/13/2016,482,dead,confirmed predation - panther,f,6,6.5,,,Add Lands,Add Lands east
130,1/16/2015,5/31/2016,501,,,m,2.0,,,,Bear Island,Bear Island grid
131,1/15/2015,5/31/2016,502,,,f,3.0,,,,Bear Island,Bear Island grid
132,1/16/2015,11/18/2015,306,dead,confirmed predation - panther,f,1.5,2.5,479451,2900162,Bear Island,Bear Island grid
133,1/16/2015,11/7/2015,295,dead,confirmed predation - alligator,f,3.5,4..5,480138,2897388,Bear Island,Bear Island grid
134,1/15/2015,8/3/2015,200,dead,probable predation - black bear,f,3.5,4,,,Bear Island,Bear Island grid
135,1/16/2015,3/5/2015,48,dead,confirmed predation - panther,f,6.5,6.5,481221,2901530,Bear Island,Bear Island grid
136,1/15/2015,3/2/2015,46,dead,probable predation - panther,f,6.5,6.5,480341,2899686,Bear Island,Bear Island grid
137,1/15/2015,3/27/2015,71,dead,confirmed predation - panther,m,2.5,2.5,477476,2900560,Bear Island,Bear Island grid
138,1/18/2015,5/24/2015,126,dead,confirmed predation - panther,f,4,4.5,482197,2900995,Add Lands,Bear Island grid
139,1/17/2015,6/29/2015,163,dead,confirmed predation - panther,f,3.5,4,496272,2896975,Add Lands,Add Lands Nobels
140,1/18/2015,5/31/2016,499,unknown,,f,1.5,,,,Bear Island,Bear Island grid
141,1/16/2015,5/31/2016,501,,,m,5.0,,,,Bear Island,Bear Island grid
142,1/18/2015,5/6/2015,108,dead,confirmed predation - panther,m,3,3.5,480660,2901404,Bear Island,Bear Island grid
143,1/16/2015,7/1/2015,166,dead,unknown,m,2,2.5,477462,2902094,Bear Island,Bear Island grid
144,1/17/2015,5/31/2016,500,,,f,3.0,,,,Add Lands,Add Lands Nobels
145,1/18/2015,5/31/2016,499,,,f,2.0,,,,Bear Island,Bear Island grid
146,1/15/2015,11/10/2015,299,dead,probable predation - (likely)pantherf,f,5.5,6.5,470213,2895981,Bear Island,Bear Island Hinson
147,1/15/2015,5/31/2016,502,,,f,1.0,,,,Bear Island,Bear Island grid
148,1/19/2015,5/31/2016,498,,,m,2.0,,,,Bear Island,Bear Island grid
149,1/18/2015,7/8/2016,537,dead,confirmed predation - panther,m,1.5,3,,,Bear Island,Bear Island grid
150,1/15/2015,5/31/2016,502,,,f,1.5,,,,Bear Island,Bear Island grid
151,1/15/2015,3/31/2016,441,dead,confirmed predation - panther,f,6.5,6.5,,,Bear Island,Bear Island grid
152,1/14/2015,5/31/2016,503,,,f,3.0,,,,Bear Island,Bear Island grid
153,1/14/2015,5/31/2016,503,,,f,3.0,,,,Bear Island,Bear Island grid
154,1/17/2015,2/3/2015,17,dead,confirmed predation - panther,f,5.5,5.5,495212,2895598,Add Lands,Add Lands Nobels
155,1/15/2015,2/17/2015,33,dead,unknown,f,4.5,4.5,471079,2896501,Bear Island,Bear Island Hinson
156,1/15/2015,5/31/2016,502,,,f,2.5,,,,Bear Island,Bear Island grid
157,1/19/2015,6/9/2015,141,dead,confirmed predation - panther,m,2,2.5,481257,2898188,Bear Island,Bear Island grid
158,1/14/2015,5/31/2016,503,,,f,,,,,Bear Island,Bear Island grid
159,1/15/2015,5/31/2016,502,,,m,,,,,Bear Island,Bear Island grid
161,1/16/2015,8/8/2015,204,dead,unknown - probable pathology,m,2,2.5,480243,2905994,Big Cypress Mitigation Bank,Bear Island grid
163,1/13/2015,5/31/2016,504,,,f,2.5,,,,Bear Island,Bear Island Hinson
164,1/15/2015,5/31/2016,502,,,f,2.0,,,,Bear Island,Bear Island Hinson
165,1/15/2015,5/31/2016,502,,,f,2.0,,,,Add Lands,Add Lands Bakers
166,1/13/2015,5/31/2016,504,,,f,2.0,,,,Bear Island,Bear Island Hinson
167,1/14/2015,6/26/2015,163,dead,probable predation - panther,f,2.5,3,470778,2895967,Bear Island,Bear Island Hinson
168,1/18/2015,8/4/2015,198,dead,euthanized - pathology HD,f,5,5.5,473503,2898263,Bear Island,Bear Island grid
169,1/15/2015,9/18/2015,246,dead,probable predation -  panther,f,5,5.5,473989,2898791,Bear Island,Bear Island grid
170,1/15/2015,1/16/2015,1,dead,capture myopathy,m,2.5,2.5,,,Bear Island,Bear Island grid
171,1/14/2015,5/31/2016,503,,,f,2.5,,,,Bear Island,Bear Island grid
172,1/14/2015,5/31/2016,503,,,f,3.0,,,,Bear Island,Bear Island Hinson
173,1/13/2015,8/14/2015,213,dead,probable predation - panther,f,2.5,3,472666,2895707,Bear Island,Bear Island Hinson
174,1/14/2015,8/20/2015,218,dead,confirmed predation - panther,m,1.5,2,470762,2897763,Bear Island,Bear Island Hinson
175,1/15/2015,2/27/2015,43,dead,confirmed predation - panther,m,5,5,469010,2896944,Bear Island,Bear Island Hinson
176,1/14/2015,6/15/2015,152,unknown,,m,3.0,,470495,2898549,Bear Island,Bear Island Hinson
177,1/13/2015,4/16/2015,93,dead,probable predation - panther,f,2.5,2.5,470834,2897426,Bear Island,Bear Island Hinson
178,1/15/2015,5/31/2016,502,,,m,2.5,,,,Bear Island,Bear Island Hinson
179,1/16/2015,5/31/2016,501,,,m,2.0,,,,Bear Island,Bear Island grid
180,1/16/2015,1/22/2016,371,dead,intestinal twist,f,1.5,2.5,,,Bear Island,Bear Island grid
181,1/18/2015,2/28/2015,41,dead,probable predation - panther,f,6.5,6.5,482605,2899812,Bear Island,Bear Island grid
182,1/19/2015,11/21/2015,306,dead,probable predation - unknown predator,f,3.5,4.5,479627,2901069,Bear Island,Bear Island grid
183,1/17/2015,5/31/2016,500,,,f,3.0,,,,Add Lands,Add Lands Nobels
184,1/17/2015,5/31/2016,500,,,f,5.0,,,,Add Lands,Add Lands Bakers
185,1/18/2015,3/24/2015,65,dead,confirmed predation - panther,f,5.5,5.5,480446,2901018,Bear Island,Bear Island grid
186,1/16/2015,5/31/2016,501,,,m,2.5,,,,Bear Island,Bear Island Hinson
187,1/19/2015,8/16/2015,209,dead,confirmed predation - panther,m,2,2.5,478941,2903317,Bear Island,Bear Island grid
188,1/16/2015,1/3/2016,352,dead,confirmed predation - panther,f,1.5,2.5,480691,2897608,Bear Island,Bear Island grid
