"Unique.ID","SurvTime","Fate","Sex"
"103",184,0,"m"
"106",498,0,"f"
"107",498,0,"f"
"109",81,1,"m"
"110",271,1,"f"
"111",503,0,"f"
"112",503,0,"f"
"113",70,1,"m"
"114",229,1,"m"
"115",153,1,"f"
"117",501,0,"f"
"118",499,0,"f"
"119",340,1,"f"
"120",236,1,"f"
"121",139,1,"m"
"122",500,0,"f"
"123",500,0,"f"
"124",500,0,"f"
"125",500,0,"m"
"127",80,1,"f"
"128",498,0,"m"
"129",482,1,"f"
"130",501,0,"m"
"131",502,0,"f"
"132",306,1,"f"
"133",295,1,"f"
"134",200,1,"f"
"135",48,1,"f"
"136",46,1,"f"
"137",71,1,"m"
"138",126,1,"f"
"139",163,1,"f"
"140",499,0,"f"
"141",501,0,"m"
"142",108,1,"m"
"143",166,1,"m"
"144",500,0,"f"
"145",499,0,"f"
"146",299,1,"f"
"147",502,0,"f"
"148",498,0,"m"
"150",502,0,"f"
"151",441,1,"f"
"152",503,0,"f"
"153",503,0,"f"
"154",17,1,"f"
"155",33,1,"f"
"156",502,0,"f"
"157",141,1,"m"
"158",503,0,"f"
"159",502,0,"m"
"161",204,1,"m"
"163",504,0,"f"
"164",502,0,"f"
"165",502,0,"f"
"166",504,0,"f"
"167",163,1,"f"
"168",198,1,"f"
"169",246,1,"f"
"171",503,0,"f"
"172",503,0,"f"
"173",213,1,"f"
"174",218,1,"m"
"175",43,1,"m"
"176",152,0,"m"
"177",93,1,"f"
"178",502,0,"m"
"179",501,0,"m"
"180",371,1,"f"
"181",41,1,"f"
"182",306,1,"f"
"183",500,0,"f"
"184",500,0,"f"
"185",65,1,"f"
"186",501,0,"m"
"187",209,1,"m"
"188",352,1,"f"
"189",498,0,"f"
"190",394,1,"m"
"191",499,0,"m"
"192",433,1,"f"
"194",500,0,"f"
"195",303,1,"f"
"196",498,0,"m"
"197",498,0,"m"
"198",253,1,"m"
"199",17,1,"m"
"200",504,0,"f"
"201",498,0,"f"
"202",66,1,"f"
"203",286,1,"f"
"204",338,1,"m"
"205",486,1,"m"
"206",498,0,"f"
"211",393,0,"f"
"213",384,0,"f"
"214",296,1,"f"
"216",385,0,"f"
"219",41,1,"m"
"220",385,0,"f"
"221",385,0,"f"
"222",197,1,"m"
"223",387,0,"f"
"224",395,0,"f"
"225",248,1,"f"
"227",220,1,"f"
"228",342,0,"f"
"230",340,0,"m"
"231",154,0,"m"
"232",154,0,"m"
"233",154,0,"m"
"234",143,0,"f"
"235",143,0,"m"
"236",144,0,"f"
"237",16,1,"f"
"238",117,1,"f"
"239",144,0,"f"
"240",144,0,"f"
"241",79,1,"f"
"242",142,0,"f"
"243",143,0,"f"
"244",143,0,"f"
"246",15,1,"f"
"247",145,0,"m"
"248",143,0,"f"
"249",15,1,"f"
"250",142,0,"m"
"251",144,0,"f"
"252",145,0,"m"
"253",144,0,"f"
"254",144,0,"m"
"255",140,0,"m"
"256",141,0,"m"
"257",141,0,"m"
"258",144,0,"m"
"259",142,0,"f"
"260",153,0,"m"
"261",42,1,"f"
"262",143,0,"f"
"263",146,0,"f"
"264",91,1,"f"
"265",141,0,"m"
"266",145,0,"m"
"267",143,0,"m"
"268",144,0,"f"
"269",104,1,"f"
"270",146,0,"f"
"271",144,0,"f"
"273",145,0,"f"
"274",145,0,"f"
"276",145,0,"f"
"277",147,0,"f"
"278",146,0,"f"
"279",111,1,"f"
"280",146,0,"f"
"281",25,1,"m"
"282",22,0,"m"
"283",108,1,"m"
"285",141,0,"m"
"286",62,1,"f"
"287",92,1,"f"
"288",37,1,"f"
"289",140,0,"m"
"290",139,0,"f"
"291",140,0,"m"
"292",140,0,"f"
"293",140,0,"f"
"294",141,0,"m"
"295",140,0,"f"
"296",140,0,"f"
"298",146,0,"f"
"299",144,0,"f"
"300",145,0,"f"
"301",141,0,"f"
"302",143,0,"f"
"303",21,1,"f"
"304",146,0,"f"
"305",145,0,"f"
"306",146,0,"f"
"307",140,0,"f"
"310",139,0,"f"
"311",139,0,"f"
"312",36,1,"f"
"313",139,0,"m"
"314",39,1,"f"
"315",27,1,"f"
"316",33,1,"m"
"318",42,0,"f"
